Agricultural zone,month(bij),month(chara),rainfall (mm),temperature(avg),humidity(avg),sunlight(hour),direction of wind(deg),velocity of wind(km/h),label count,label
1,6.75,7.5,111.7,28.5,88.4,23.3,175,6.5,0,Aman
1,6.75,7.5,111.95,30.71,90.86,19.97,168.65,13,0,Aman
1,6.75,7.5,104.03,32.69,81.75,24.56,179.84,13.96,0,Aman
1,6.75,7.5,104.63,31.49,91.65,23.51,171.91,0.94,0,Aman
1,6.75,7.5,113.49,32.72,94.89,21.21,182.63,11.91,0,Aman
1,6.75,7.5,107.73,33.1,85.44,26.74,184.22,8.25,0,Aman
1,6.75,7.5,115.83,28.31,81.76,19.72,176.9,3.48,0,Aman
1,6.75,7.5,105.61,32.73,95.03,20.78,174.49,0.55,0,Aman
1,6.75,7.5,118.34,29.74,83.88,24.51,176.15,8.92,0,Aman
1,6.75,7.5,114.93,28.3,84.26,19.71,179.31,8.49,0,Aman
1,6.75,7.5,113.75,27.71,81.8,26.26,178.66,0.14,0,Aman
1,6.75,7.5,104.99,28.82,78.6,23.45,164.31,10.76,0,Aman
1,6.75,7.5,107.19,30.64,88.12,22.05,183.11,10.15,0,Aman
1,6.75,7.5,108.9,26.73,81.63,19.73,173.65,8.89,0,Aman
1,6.75,7.5,116.04,24.67,87.2,25.6,166.09,11.2,0,Aman
1,6.75,7.5,117.27,25.33,85.31,24.74,168.62,11.73,0,Aman
2,7.25,8,63.3,29.3,83.6,35,137,6.3,0,Aman
2,7.25,8,62.27,24.76,79.61,32.17,128.74,1.7,0,Aman
2,7.25,8,63.57,28.29,76.6,34.76,146.28,0.45,0,Aman
2,7.25,8,68.95,28.74,76.97,37.23,143.83,12.26,0,Aman
2,7.25,8,58.35,27.23,92.98,35.8,140.98,11.69,0,Aman
2,7.25,8,59.67,34.24,75.17,32.46,145.27,10.42,0,Aman
2,7.25,8,61.81,31.11,92.87,36.9,138.19,9.69,0,Aman
2,7.25,8,56.55,28.46,93.33,33.75,132.31,8.78,0,Aman
2,7.25,8,66.47,29.27,74.65,31.16,147.59,7.9,0,Aman
2,7.25,8,67.89,26.81,85.49,34.99,141.84,5.92,0,Aman
2,7.25,8,65.84,25.63,78.87,32.15,137.31,11.14,0,Aman
2,7.25,8,58.65,32.59,75.26,33.33,128.73,12.35,0,Aman
2,7.25,8,61.28,29.68,74.1,34.85,141.41,10.53,0,Aman
2,7.25,8,56.65,31.77,93.32,36.98,133.61,1.77,0,Aman
2,7.25,8,56.22,27.76,91.4,33.26,128.62,3.19,0,Aman
2,7.25,8,68.49,25.68,77,37.88,135.27,3.3,0,Aman
3,6.25,7,201.7,28,86.9,24,173,10.7,0,Aman
3,6.25,7,208.92,24.91,91.6,23.81,179.62,6.85,0,Aman
3,6.25,7,208.77,23.9,89.76,20.9,178.6,10.91,0,Aman
3,6.25,7,194.56,31.43,77.85,23.7,183.67,10.29,0,Aman
3,6.25,7,199.45,24.3,94.92,25.17,182.42,3.59,0,Aman
3,6.25,7,201.45,25.81,76.92,26.87,170.55,8.77,0,Aman
3,6.25,7,207.89,31.49,89.85,25.27,167.97,9.13,0,Aman
3,6.25,7,201.16,29.4,87.27,26.49,166.23,9.42,0,Aman
3,6.25,7,198.72,29.44,79.3,21.05,165.76,17.51,0,Aman
3,6.25,7,198.3,27.09,79.53,21.71,181.46,12.64,0,Aman
3,6.25,7,205.07,31.51,90.13,22.6,171.37,6.67,0,Aman
3,6.25,7,203.99,28.78,83.82,21.6,171.77,7.82,0,Aman
3,6.25,7,206.28,24.98,93.69,23.95,163.74,18.08,0,Aman
3,6.25,7,208.06,31.89,78.34,20.22,166.02,16.07,0,Aman
3,6.25,7,197.33,31.25,78.07,24.13,182.53,6.34,0,Aman
3,6.25,7,202.03,29.36,85.52,27.84,180.56,17.28,0,Aman
4,6.75,7.5,107,28.5,86,26.5,174,7,0,Aman
4,6.75,7.5,110.44,28.91,77.64,29.49,180.59,3.21,0,Aman
4,6.75,7.5,106.98,24.51,77.9,23.28,171.54,1.38,0,Aman
4,6.75,7.5,100.81,29.01,76.02,23.49,185.03,8.59,0,Aman
4,6.75,7.5,104.36,24.79,88.8,24.08,167.7,14.98,0,Aman
4,6.75,7.5,108.02,27.18,92.19,24.18,171.89,13.8,0,Aman
4,6.75,7.5,100.65,30.28,90.26,26.41,182.48,11.55,0,Aman
4,6.75,7.5,108.16,29.46,80.27,23.91,180.86,12.95,0,Aman
4,6.75,7.5,107.65,31.64,78.63,25.04,176.6,5.8,0,Aman
4,6.75,7.5,105.83,30.12,83.65,25.43,164.62,2.44,0,Aman
4,6.75,7.5,106.12,26.04,90.11,30.11,175.62,0.76,0,Aman
4,6.75,7.5,100.63,29.24,88.38,29.02,180.92,0.87,0,Aman
4,6.75,7.5,103.72,33.37,78.59,24.65,171.83,6.04,0,Aman
4,6.75,7.5,106.77,26.61,85.15,25.02,168.45,7.17,0,Aman
4,6.75,7.5,101.48,23.98,95.45,25.89,185.54,14.59,0,Aman
4,6.75,7.5,105.46,25.25,88.84,29.21,177.38,14.99,0,Aman
5,6.5,7.25,73.5,29.1,83,32,159,5.9,0,Aman
5,6.5,7.25,74.24,27.45,82.02,29.99,156.49,8.23,0,Aman
5,6.5,7.25,80.92,26.43,90.57,29.11,160.09,9.57,0,Aman
5,6.5,7.25,75.72,29.03,92.61,28.03,163.42,1.88,0,Aman
5,6.5,7.25,81.03,24.25,88.86,30.91,162.54,9.27,0,Aman
5,6.5,7.25,79.85,30.23,78.52,35.46,165.68,12.62,0,Aman
5,6.5,7.25,74.67,32.01,77.1,30.1,166.94,0.02,0,Aman
5,6.5,7.25,65.77,32.56,76.74,35.27,161.47,7.95,0,Aman
5,6.5,7.25,69.76,25.16,85.75,32.81,156.71,4.06,0,Aman
5,6.5,7.25,79.64,25,77.86,30.41,166.2,9.57,0,Aman
5,6.5,7.25,79.04,32.26,81.38,29.61,159.89,1.08,0,Aman
5,6.5,7.25,75.91,32.21,89.33,34.91,170.35,2.81,0,Aman
5,6.5,7.25,65.73,25.74,79.73,31.33,153.67,1.14,0,Aman
5,6.5,7.25,67.01,25.67,76.88,29.23,152.25,6.55,0,Aman
5,6.5,7.25,76.33,27.64,79.98,32.91,149.51,12.17,0,Aman
5,6.5,7.25,81.14,28.85,77.47,30.82,153.77,6.52,0,Aman
6,6,6.75,96,29.2,83,31,121,3.7,0,Aman
6,6,6.75,94.28,29.77,78.69,34.11,111.84,2.38,0,Aman
6,6,6.75,103.56,32.4,82.81,28.01,109.79,1.02,0,Aman
